Feature,Importance
H_S_H_min,0.0009911208943564039
S_O_H_mean,0.000990371164731186
H_O_surface_area_std,0.0009902991411706856
O_S_volume_sum,0.0009862001530982515
S_O_H_sum,0.0009857911046952585
H_S_H_median,0.0009851954172921799
H_S_kappa_max_std,0.0009835458601050976
H_N_kappa_min_std,0.0009788349705122104
C_S_kappa_min_min,0.0009786293091577887
H_N_kappa_min_sum,0.0009773332749706042
O_S_H_median,0.0009672313070916371
N_O_kappa_min_std,0.0009652963776772109
O_S_kappa_max_min,0.000962122162019151
C_S_K_sum,0.0009554376045747434
O_S_volume_std,0.0009456632487361829
C_S_volume_std,0.0009444579870674842
H_S_kappa_min_std,0.0009403218868833685
N_N_K_max,0.0009381572541847714
S_O_K_mean,0.0009379841538391378
O_S_H_std,0.0009357087170538682
H_S_H_mean,0.0009344285991217282
O_S_surface_area_min,0.0009312969732780166
O_N_volume_mean,0.0009285585543370962
O_S_volume_max,0.000925668427980392
S_O_kappa_max_max,0.000922802145759245
S_N_surface_area_median,0.0009209127556401607
N_N_K_sum,0.00091778454993853
O_S_kappa_min_median,0.0009170051296015101
N_O_volume_min,0.0009151317634401846
O_O_kappa_min_std,0.0009146203959069704
N_S_volume_std,0.0009063053265899088
C_S_volume_mean,0.0009055453058336074
C_S_surface_area_sum,0.0009026376874230283
N_S_volume_sum,0.0009009690971462784
C_S_K_mean,0.0008970763360419423
N_C_kappa_min_std,0.0008947445804909778
O_S_kappa_min_max,0.0008924712241501242
O_S_H_mean,0.000882395166465181
H_S_K_std,0.0008817049566428358
S_O_surface_area_mean,0.0008791105730330145
N_S_H_max,0.0008769609484938432
N_N_surface_area_max,0.0008751262201146635
O_S_kappa_max_median,0.0008667982355170507
N_S_surface_area_sum,0.0008653051417698649
O_S_kappa_min_min,0.0008644685226946778
S_C_kappa_min_min,0.0008625399505027942
S_N_surface_area_sum,0.000856340217395402
O_S_K_mean,0.000854138862465195
N_S_kappa_min_std,0.000853225900399939
H_S_surface_area_std,0.0008517660264213128
N_S_K_min,0.0008494420189579893
O_S_K_std,0.0008488495029339868
N_S_volume_median,0.0008477978362101871
O_S_kappa_max_max,0.0008405437795604851
N_S_kappa_max_median,0.000838488133107932
O_N_volume_min,0.0008365039038390358
O_S_volume_mean,0.0008360535436423725
N_S_surface_area_mean,0.0008322444153800669
S_C_K_max,0.0008237051524191655
N_S_kappa_max_max,0.0008218625580759727
N_N_kappa_min_std,0.0008169375786201877
O_S_H_min,0.0008137552974792122
O_S_kappa_max_mean,0.000813632089336469
N_S_H_sum,0.0008123057322216863
H_S_K_min,0.0008111568708695101
O_S_K_median,0.0008069633971382681
S_C_kappa_min_median,0.0008064606850673802
O_S_kappa_min_std,0.0008049717921620137
S_O_volume_std,0.0008028992033636314
N_S_kappa_min_sum,0.0007968699213362741
C_S_K_median,0.0007875821164085393
S_O_kappa_min_min,0.000786001758476893
H_S_K_median,0.000782009341664026
S_C_kappa_max_median,0.0007803526837665284
H_S_volume_std,0.0007781572445534955
N_S_kappa_min_min,0.0007768711395055513
S_C_surface_area_mean,0.0007711227062954638
N_C_H_std,0.0007705268554378024
N_O_H_std,0.0007659600554504928
N_S_volume_max,0.0007621007607330945
S_O_volume_min,0.0007594943979978351
H_S_surface_area_max,0.0007567567297082007
N_S_K_median,0.0007560768620575985
S_O_K_max,0.0007500982175038637
H_S_surface_area_mean,0.0007408043364244109
N_S_H_median,0.0007402127548009137
O_S_surface_area_sum,0.0007346755105147411
S_O_kappa_min_median,0.0007305796480335174
S_C_H_min,0.0007240813062050336
N_S_kappa_max_mean,0.0007234824644948456
N_C_kappa_max_std,0.0007209774022512958
N_S_volume_mean,0.0007169423511709948
N_S_K_sum,0.0007095508689130505
S_C_K_sum,0.0007078271410448326
N_S_kappa_min_max,0.0007055819463923484
S_O_kappa_max_mean,0.0007055180180711911
S_N_volume_median,0.0006952669911784369
S_C_kappa_min_sum,0.0006922428888603453
S_N_K_sum,0.0006895014934878314
N_S_surface_area_max,0.000675111280607337
N_S_volume_min,0.0006716028917450517
P_O_volume_median,0.0006708902682068469
N_N_H_std,0.0006696642127612636
S_C_K_mean,0.0006659107139122201
N_S_kappa_max_std,0.0006528177443006716
S_O_H_median,0.0006489775845907135
N_S_kappa_min_mean,0.0006387923564366259
S_C_H_sum,0.0006290211794550716
N_S_H_std,0.0006241426340308668
S_O_kappa_max_min,0.000619098887045405
N_S_H_min,0.000618337942230079
S_C_K_std,0.0006087741073712488
N_S_kappa_max_min,0.000590087463377755
N_N_K_std,0.0005859376573845867
S_O_volume_mean,0.0005782299602218365
N_S_K_mean,0.0005778871222123592
S_C_surface_area_median,0.0005742847203510688
S_O_surface_area_max,0.0005698172737880649
S_N_K_mean,0.0005656820229079269
S_N_H_sum,0.0005607497928160317
N_S_K_std,0.0005556466028551942
S_N_H_median,0.0005543334282569917
S_C_surface_area_min,0.0005523237795294749
P_N_volume_median,0.0005461357008889027
N_S_surface_area_std,0.0005459843278249216
S_N_kappa_min_min,0.0005447558204689968
S_N_kappa_min_median,0.0005433326623059823
S_C_kappa_max_min,0.0005385261351725784
S_O_H_max,0.0005378781461107856
P_S_volume_std,0.0005352235236655684
S_C_volume_median,0.0005257852544284136
S_N_volume_mean,0.0005210918162889719
S_C_kappa_max_mean,0.0005070178043907354
Cl_O_surface_area_mean,0.0005020374339304083
P_N_surface_area_min,0.000500306231230196
S_O_K_sum,0.0004994741001967681
S_N_kappa_min_max,0.000499239823505631
S_N_kappa_min_mean,0.000498574764941136
P_N_H_max,0.0004961535592668794
P_O_surface_area_mean,0.0004910963102137527
P_O_H_sum,0.0004895141444717074
S_N_K_median,0.00048793345831144096
N_S_kappa_max_sum,0.000487219401521747
P_O_K_max,0.0004852799997455127
S_N_kappa_max_mean,0.0004763311137588154
S_O_kappa_max_median,0.0004729219262699465
S_N_surface_area_std,0.0004652424271913339
P_N_H_median,0.0004592608768719672
S_N_volume_min,0.00045723703377617
S_O_volume_max,0.00045624090837791895
P_O_kappa_max_median,0.00045415707348017725
S_N_H_min,0.0004541335348038808
S_S_K_max,0.0004533477086920936
P_N_kappa_max_max,0.00044948645238994167
P_C_volume_std,0.0004478024447457169
S_N_K_max,0.0004465135565272586
P_N_H_mean,0.00044620001703867126
S_S_kappa_max_mean,0.00044419665364766204
P_O_volume_std,0.0004352129901461046
S_C_H_max,0.00043015593600028763
S_N_H_max,0.00042725061323553077
P_N_kappa_max_sum,0.0004254378700095993
P_O_K_mean,0.0004237038098333409
P_S_kappa_min_median,0.0004219621294799311
P_N_kappa_max_median,0.0004217314704259578
S_C_kappa_min_mean,0.00042005109424215293
S_N_kappa_max_median,0.0004189576328748598
S_C_H_mean,0.00041840169699151425
S_O_volume_median,0.0004179820253086851
P_N_K_mean,0.00041440736606109495
S_N_K_min,0.0004141516661906159
P_N_K_max,0.00041131387051258087
S_C_surface_area_max,0.00040934151551678526
P_N_surface_area_mean,0.0004040669980329949
S_C_K_min,0.0004035802535373174
P_N_kappa_max_min,0.0004034259083653531
S_C_surface_area_std,0.00040196110390046716
P_N_K_min,0.0003996541548574439
S_C_surface_area_sum,0.0003943549847344766
P_O_volume_min,0.0003874499435907541
S_O_kappa_min_max,0.0003859758542543624
S_N_kappa_max_min,0.000382867719591534
P_C_volume_max,0.0003815645491507227
P_O_kappa_max_max,0.0003809009041137067
P_N_volume_mean,0.00037909682047078993
P_O_kappa_min_std,0.0003788198562294626
P_N_surface_area_sum,0.0003713033295175914
P_O_volume_mean,0.0003683136493857788
P_O_surface_area_median,0.00036462106415903397
P_O_kappa_max_std,0.00036256818654116285
P_N_kappa_min_max,0.0003620729050895371
P_O_H_mean,0.0003551965693535552
S_O_surface_area_min,0.00035266759885723065
Cl_N_kappa_max_median,0.0003510781971838102
S_C_H_median,0.00035000931604241617
S_N_volume_sum,0.0003427623794581068
